Date,User,Content,Coordinates
2022-10-22 23:11:34+00:00,DonLauweryssen,@DavidHamer_1951 Indeed. This is why my family has canceled its UCP memberships and joined the Alberta Party,"Coordinates(longitude=-119.61697, latitude=49.423628)"
2022-10-22 20:35:23+00:00,Emmanuel_Rach,"Alberta Premier Danielle Smith has just taken the stage at the UCP AGM, the party’s first since Smith won the leadership and premiership earlier this month. #abpoli https://t.co/xsn0YO3N2G","Coordinates(longitude=-113.69722389414147, latitude=53.50972937974607)"
2022-10-22 16:57:47+00:00,dianesbaker1,"@davetroy @TheNakedParty May 2022, Pierre Poilievre, UCP, CCP candidate, declare he would fire the Bank of Canada governor. As the party destroys public education in Alberta &amp; in Ontario. Students have fewer choices and scores are lower.","Coordinates(longitude=-123.224215, latitude=49.19854)"
2022-10-22 00:45:53+00:00,ClarkeRaodi123,@tomhawthorn BTW..The ruling parties in Alberta were Liberals. UFA Party- Socislist. Social Credid Party of Alberta. Socialists. PCs. Conservative. NDP. Socialist. UCP. Nazis.,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-10-20 15:25:40+00:00,CinnamonChichi,@wasootch @Alberta_UCP @Dave_Khan @albertaNDP Congratulations for joining BTW.  I like to mention that I run a successful small biz at the door.  You should too.  Albertans have been conned into believing that the UCP are the party of business https://t.co/oG5wo8Gsel,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-10-19 19:52:16+00:00,LeonardGould6,"..yeah.this Calgary anointed BIMBO,chosen by the eminently wise and inscrutable ""sagacious ""grandfathers""of the MJT/DJT/S.O.L.chapter of the American ""Robert E.Lee""PARTY,(in ALBERTA, called UCP - in EDMONTON,called GONE!-issues  their, WELCOME BACK RACHEL drum beat,&amp;bumper stckr https://t.co/eCuf064Ln5","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-10-18 15:44:40+00:00,tzilkie,@ABDanielleSmith you are a big reason why I will not vote @Alberta_UCP in this coming election. Your party’s shenanigans over the years is why I will most likely never vote con again. #dobetter #shister #abpoli https://t.co/W3ZsFn9ZGc,"Coordinates(longitude=-113.052581, latitude=52.929859)"
2022-10-16 01:02:04+00:00,sbrucecanada,@TimMcDermott8 @AP @ABDanielleSmith The vote of UCP members where she became party leader and premier of Alberta.,"Coordinates(longitude=-113.7070882, latitude=53.599415)"
2022-10-14 21:10:07+00:00,ItsPaulNeumann,Premier @ABDanielleSmith will not be challenged by any @buffalo_alberta Party candidate in her by-election. #ABleg #ABpoli #UCP https://t.co/AXAOir5UPl,"Coordinates(longitude=-113.6007232, latitude=53.233624)"
2022-10-14 01:16:49+00:00,AndersonBooz,"Yeah
 @ABDanielleSmith caught lying AGAIN.

Why did the @Alberta_UCP choose a second leader already known to be a frequent liar? Such bad judgment - and then they're upset if people outside the party sees them all as ignorant and corrupt!

#abpoli #ableg https://t.co/DumFFSTLQ7","Coordinates(longitude=-113.71368, latitude=53.395531)"
